,50,100,1000,5000
1,"{'Time': (0.0907930830602821, 0.07061801160524524), 'Error': (0.45287408386321654, 0.2044511282086539)}","{'Time': (0.10097605371691662, 0.08058217382214589), 'Error': (0.3511577915587769, 0.2370325970422534)}","{'Time': (0.9293993832052427, 0.8218281386911195), 'Error': (0.1678806930543071, 0.06977340506612834)}","{'Time': (2.100712364140398, 1.8837402649489576), 'Error': (0.07170064868444942, 0.004766032007501107)}"
2,"{'Time': (0.09672790490811574, 0.0764040378409077), 'Error': (0.44750362546151595, 0.20340893368209695)}","{'Time': (0.10502231928700279, 0.07890173581248452), 'Error': (0.4323123591613141, 0.14762151731324163)}","{'Time': (0.8945669098161178, 0.5872113303877398), 'Error': (0.20368946515576264, 0.04488391228971801)}","{'Time': (2.1546589113596055, 1.8086990617391492), 'Error': (0.12255883825018335, 0.03719175387545182)}"
3,"{'Time': (0.1255603869487205, 0.06404499215589378), 'Error': (0.4025865155949947, 0.17442875473343267)}","{'Time': (0.09483553815124915, 0.07780244898559166), 'Error': (0.3108588597057443, 0.11342828317363084)}","{'Time': (0.758905623358191, 0.498395802575647), 'Error': (0.18428334282716524, 0.06002472034965993)}","{'Time': (5.002700072041039, 2.9042655174822762), 'Error': (0.11832802993464443, 0.022110756469564716)}"
4,"{'Time': (0.10120546293145005, 0.06690681505316909), 'Error': (0.46848662538007685, 0.22022293679095378)}","{'Time': (0.10347432992079289, 0.08052806952378719), 'Error': (0.3898627990186499, 0.22190443196772308)}","{'Time': (0.48304137192307156, 0.40840660132827117), 'Error': (0.18334147576320325, 0.10368188341602007)}","{'Time': (4.560940472217767, 3.8212394556081604), 'Error': (0.09757917674571699, 0.040607316077523894)}"
5,"{'Time': (0.08667840280839313, 0.06708923062971721), 'Error': (0.4718248589763796, 0.251081246265074)}","{'Time': (0.10850557327804844, 0.07754193305434903), 'Error': (0.3833147937443602, 0.07846246619313557)}","{'Time': (0.5723624065533601, 0.3584991142138518), 'Error': (0.2393246123980725, 0.09288682315412723)}","{'Time': (4.169242008052765, 3.3675565644875176), 'Error': (0.11393250082001663, 0.021988778249175944)}"
