,50,100,1000,5000
1,"{'Time': (2.2057193992410125, 0.7749968292440951), 'Error': (0.0, 0.0)}","{'Time': (2.8296003140408574, 1.8123415671389516), 'Error': (1.69620910604371e-16, 5.253464969929325e-17)}","{'Time': (3.235196564881405, 2.7570564048604167), 'Error': (2.776944503795803e-16, 2.776944503795803e-16)}","{'Time': (3.469420087022029, 2.67157136233405), 'Error': (1.1107778015183213e-15, 1.1107778015183213e-15)}"
2,"{'Time': (1.5012370315028536, 1.0832192692326201), 'Error': (0.0, 0.0)}","{'Time': (1.679246273702557, 0.9605034916935611), 'Error': (1.2723928885287183e-16, -1.6161508701039693e-17)}","{'Time': (2.995167172517959, 1.4511964673135842), 'Error': (2.776944503795803e-16, 2.776944503795803e-16)}","{'Time': (3.657477278016185, 2.6193334157246597), 'Error': (1.1107778015183213e-15, 1.1107778015183213e-15)}"
3,"{'Time': (1.6322636853400134, 1.012785505181227), 'Error': (0.0, 0.0)}","{'Time': (1.4997053699712426, 1.0335079593439431), 'Error': (1.6886985051021531e-16, 8.105515483140698e-17)}","{'Time': (3.714327582665095, 3.0654603392404227), 'Error': (2.776944503795803e-16, 2.776944503795803e-16)}","{'Time': (3.3863830770264842, 2.1592678343046927), 'Error': (1.1107778015183213e-15, 1.1107778015183213e-15)}"
4,"{'Time': (1.494854337478153, 1.1456100637669642), 'Error': (0.0, 0.0)}","{'Time': (1.252194793052461, 1.0108930041124558), 'Error': (1.2723928885287183e-16, -1.6161508701039693e-17)}","{'Time': (3.731563577421995, 2.8696542169963397), 'Error': (2.776944503795803e-16, 2.776944503795803e-16)}","{'Time': (6.781833082327585, 5.999097389092702), 'Error': (1.1107778015183213e-15, 1.1107778015183213e-15)}"
5,"{'Time': (1.8895530083095384, 1.2795986793125318), 'Error': (0.0, 0.0)}","{'Time': (1.743564258841554, 1.0259891640863024), 'Error': (1.4260252566056868e-16, -3.7553004707785376e-18)}","{'Time': (3.4421799506089337, 2.8778069172957292), 'Error': (2.776944503795803e-16, 2.776944503795803e-16)}","{'Time': (6.68073324586501, 4.293319803222515), 'Error': (1.1107778015183213e-15, 1.1107778015183213e-15)}"
